,역명,역간거리,일방통행여부
9호선,여의도,0.9,0
9호선,샛강,0.8,0
9호선,노량진,1.2,0
9호선,노들,1.1,0
9호선,흑석,1.1,0
9호선,동작,1.4,0
9호선,구반포,1,0
9호선,신반포,0.7,0
9호선,고속터미널,0.8,0
9호선,사평,1,0
9호선,신논현,0.9,0
9호선,언주,0.8,0
9호선,선정릉,0.9,0
9호선,삼성중앙,0.8,0
9호선,봉은사,0.8,0
9호선,종합운동장,1.4,0
9호선,삼전,1.4,0
9호선,석촌고분,0.8,0
9호선,석촌,1,0
9호선,송파나루,0.8,0
9호선,한성백제,0.8,0
9호선,올림픽공원,1.4,0
9호선,둔촌오륜,1,0
9호선,중앙보훈공원,1.7,0
우이신설선,북한산우이,0,0
우이신설선,솔밭공원,0.8,0
우이신설선,4·19민주묘지,0.7,0
우이신설선,가오리,0.9,0
우이신설선,화계,0.8,0
우이신설선,삼양,0.8,0
우이신설선,삼양사거리,0.7,0
우이신설선,솔샘,0.8,0
우이신설선,북한산보국문,1.2,0
우이신설선,정릉,1.2,0
우이신설선,성신여대입구,1.2,0
우이신설선,보문,0.9,0
우이신설선,신설동,1,0
경춘선,청량리,0,0
경춘선,회기,1.4,0
경춘선,중랑,1.8,0
경춘선,상봉,0.8,0
경춘선,망우,0.6,0
경춘선,신내,2.1,0
경춘선,갈매,2.6,0
경춘선,별내,1.4,0
경춘선,퇴계원,1.6,0
경춘선,사릉,3.3,0
경춘선,금곡,3.6,0
경춘선,평내호평,4,0
경춘선,천마산,4.2,0
경춘선,마석,2.2,0
경춘선,대성리,7.4,0
경춘선,청평,7.5,0
경춘선,상천,4.8,0
경춘선,가평,7.1,0
경춘선,굴봉산,4.7,0
경춘선,백양리,2.9,0
경춘선,강촌,5.3,0
경춘선,김유정,7.4,0
경춘선,남춘천,5.9,0
경춘선,춘천,2.7,0
공항철도,서울역,0,0
공항철도,공덕,3.3,0
공항철도,홍대입구,2.8,0
공항철도,디지털미디어시티,3.4,0
공항철도,마곡나루,8.6,0
공항철도,김포공항,2.3,0
공항철도,계양,6.6,0
공항철도,검암,5.5,0
공항철도,청라국제도시,4.8,0
공항철도,영종,10.3,0
공항철도,운서,3.5,0
공항철도,공항화물청사,4.3,0
공항철도,인천공항1터미널,2.6,0
공항철도,인천공항2터미널,5.8,0
신분당선,강남,0,0
신분당선,양재,1.5,0
신분당선,양재시민의숲,1.6,0
신분당선,청계산입구,2.9,0
신분당선,판교,8.2,0
신분당선,정자,3.1,0
신분당선,미금,1.9,0
신분당선,동천,1.6,0
신분당선,수지구청,2.1,0
신분당선,성복,1.7,0
신분당선,상현,2.1,0
신분당선,광교중앙,2.4,0
신분당선,광교,1.9,0
서해선,소사,0,0
서해선,소새울,1.7,0
서해선,시흥야대,2.1,0
서해선,신천,1.4,0
서해선,신현,3.3,0
서해선,시흥시청,3.6,0
서해선,시흥능곡,1.3,0
서해선,달미,2.4,0
서해선,선부,1.6,0
서해선,초지,1.7,0
서해선,시우,1.4,0
서해선,원시,1.5,0
경강선,판교,0,0
경강선,이매,1.5,0
경강선,삼동,6.9,0
경강선,경기광주,4.9,0
경강선,초월,5,0
경강선,곤지암,4.9,0
경강선,신둔도예촌,6.8,0
경강선,이천,7.8,0
경강선,부발,4.5,0
경강선,세종대왕릉,8.3,0
경강선,여주,5.4,0
인천1호선,계양,0,0
인천1호선,귤현,0.9,0
인천1호선,박촌,1.5,0
인천1호선,임학,1.1,0
인천1호선,계산,1.1,0
인천1호선,경인교대입구,0.9,0
인천1호선,작전,0.9,0
인천1호선,갈산,1.4,0
인천1호선,부평구청,1,0
인천1호선,부평시장,1.1,0
인천1호선,부평,0.9,0
인천1호선,동수,0.9,0
인천1호선,부평삼거리,1.1,0
인천1호선,간석오거리,1.2,0
인천1호선,인천시청,1.4,0
인천1호선,예술회관,1,0
인천1호선,인천터미널,0.8,0
인천1호선,문학경기장,0.8,0
인천1호선,선학,0.8,0
인천1호선,신연수,1.1,0
인천1호선,원인재,0.9,0
인천1호선,동춘,1.1,0
인천1호선,동막,1,0
인천1호선,캠퍼스타운,1.6,0
인천1호선,테크노파크,0.8,0
인천1호선,지식정보단지,1.4,0
인천1호선,인천대입구,1,0
인천1호선,센트럴파크,0.9,0
인천1호선,국제업무지구,0.8,0
인천1호선,송도달빛축제공원,0.8,0
김포,양촌,0,0
김포,구래,1.4,0
김포,마산,1.6,0
김포,장기,2.6,0
김포,운양,1.7,0
김포,걸포북변,3.4,0
김포,사우,1.8,0
김포,풍무,1.6,0
김포,고촌,3.6,0
김포,김포공항,5.9,0
인천2호선,검단오류,0,0
인천2호선,왕길,1.3,0
인천2호선,검단사거리,1.4,0
인천2호선,마전,1.1,0
인천2호선,완정,0.8,0
인천2호선,독정,0.9,0
인천2호선,검암,1.8,0
인천2호선,검바위,0.9,0
인천2호선,아시아드경기장,1.1,0
인천2호선,서구청,0.8,0
인천2호선,가정,2.2,0
인천2호선,가정중앙시장,0.8,0
인천2호선,석남,1.2,0
인천2호선,서부여성회관,0.8,0
인천2호선,인천가좌,1.1,0
인천2호선,가재울,1.1,0
인천2호선,주안국가산단,1.4,0
인천2호선,주안,1,0
인천2호선,시민공원,1,0
인천2호선,석바위시장,1,0
인천2호선,인천시청,0.7,0
인천2호선,석정사거리,0.8,0
인천2호선,모래내시장,0.8,0
인천2호선,만수,1.1,0
인천2호선,남동구청,1.2,0
인천2호선,인천대공원,1.5,0
인천2호선,운연,1.3,0
수인분당선,청량리,0,0
수인분당선,왕십리,2.4,0
수인분당선,서울숲,2.2,0
수인분당선,압구정로데오,1.9,0
수인분당선,강남구청,1.2,0
수인분당선,선정릉,0.7,0
수인분당선,선릉,0.7,0
수인분당선,한티,1,0
수인분당선,도곡,0.7,0
수인분당선,구룡,0.6,0
수인분당선,개포동,0.7,0
수인분당선,대모산입구,0.6,0
수인분당선,수서,3,0
수인분당선,복정,3.2,0
수인분당선,가천대,2.4,0
수인분당선,태평,1,0
수인분당선,모란,0.9,0
수인분당선,야탑,2.3,0
수인분당선,이매,1.7,0
수인분당선,서현,1.4,0
수인분당선,수내,1.1,0
수인분당선,정자,1.6,0
수인분당선,미금,1.8,0
수인분당선,오리,1.1,0
수인분당선,죽전,1.8,0
수인분당선,보정,1.3,0
수인분당선,구성,1.6,0
수인분당선,신갈,1.6,0
수인분당선,기흥,1.4,0
수인분당선,상갈,1.9,0
수인분당선,청명,2.8,0
수인분당선,영통,1.1,0
수인분당선,망포,1.5,0
수인분당선,매탄권선,1.8,0
수인분당선,수원시청,1.4,0
수인분당선,매교,1.4,0
수인분당선,수원,1.5,0
수인분당선,고색,2.7,0
수인분당선,오목천,1.6,0
수인분당선,어천,5.1,0
수인분당선,야목,2.6,0
수인분당선,사리,4.7,0
수인분당선,한대앞,2.2,0
수인분당선,중앙,1.6,0
수인분당선,고잔,1.4,0
수인분당선,초지,1.5,0
수인분당선,안산,1.8,0
수인분당선,신길온천,2.2,0
수인분당선,정왕,2.9,0
수인분당선,오이도,1.4,0
수인분당선,달월,2.1,0
수인분당선,월곶,1.5,0
수인분당선,소래포구,1.3,0
수인분당선,인천논현,1,0
수인분당선,호구포,1.3,0
수인분당선,남동인더스파크,1.3,0
수인분당선,원인재,1,0
수인분당선,연수,0.9,0
수인분당선,송도,2.7,0
